Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,1,5,0.22866868637455126,0.8623,4.978201634877384,0.6444291185917106,0.013269672353588688,0.003044483790400181,0.13263135954740463,0.053668165785537875,nan,nan,nan,nan,nan,nan,14.843542445350135,
distributed,0,1,7,0.2277042434330165,0.8626,6.974137931034483,1.013746349389064,0.013249089020478649,0.002525080101723524,0.13261841071296362,0.0559124433449417,nan,nan,nan,nan,nan,nan,15.225689670423844,
distributed,0,1,10,0.22840607111692843,0.8618,9.944852941176471,1.4965947742683543,0.013761223012537889,0.002292242949987056,0.13701536221084276,0.05252620812209418,nan,nan,nan,nan,nan,nan,15.102435547406296,
distributed,0,1,20,0.23044695282090794,0.8622,19.925575101488498,3.0495674276600075,0.013456781901549397,0.001368401422190324,0.13293442804120748,0.042442312406017486,nan,nan,nan,nan,nan,nan,14.966814296235489,
distributed,0,1,30,0.23151221155286075,0.8622,29.72325581395349,5.503534218017445,0.012594205900325067,0.0015044923675201812,0.13766556628205676,0.05319761153956808,nan,nan,nan,nan,nan,nan,15.069614723159878,
distributed,0,1,50,0.23488642606722587,0.8586,49.353326063249725,12.673890483983204,0.013166384105932747,0.0011929002018303179,0.13598793321893285,0.04251053961610513,nan,nan,nan,nan,nan,nan,14.93659559361733,
distributed,0,1,70,0.2401665791467354,0.8531,69.31101956745623,17.214206019706193,0.01335708035024705,0.0011619259458544983,0.14122028995181085,0.04289944499216517,nan,nan,nan,nan,nan,nan,14.896563469885933,
distributed,0,1,100,0.24110245795636895,0.8529,97.52862595419847,29.839384861100754,0.012156098931225004,0.0025404106514343282,0.14631893188516534,0.04854561695145217,nan,nan,nan,nan,nan,nan,15.171553591778169,
distributed,0,2,-1,0.22360812047475323,0.8764,97.29235237173282,44.244572799635236,0.012350340052453763,0.0021601535579229766,0.11039413859580759,0.05152434691222298,1e-05,0.0,5.5160802404772e-17,2.2160125909650758e-17,0.0,0.0,14.965889769900754,
distributed,0,2,1,0.24648110967741257,0.8441,1.0,0.0,0.012015933176151322,0.006128905219063774,0.13022829825289145,0.04499615257525107,nan,nan,nan,nan,nan,nan,15.220132762907573,
distributed,0,2,2,0.23427206330474726,0.856,1.9894736842105263,0.1428261375083551,0.01316184115703012,0.0046198466743374465,0.12854843908602975,0.055489786346602996,nan,nan,nan,nan,nan,nan,14.861891559175307,
distributed,0,2,3,0.23147790026290546,0.861,2.983673469387755,0.30669691714115316,0.012463178302133138,0.0034259049330425586,0.14415467437122012,0.045450681673113426,nan,nan,nan,nan,nan,nan,15.018298489909425,
distributed,0,2,5,0.22696805910948248,0.8653,4.98,0.4539450940950675,0.013470506984385941,0.0031234649111787473,0.11934343548161298,0.054491772247093305,nan,nan,nan,nan,nan,nan,15.01612437174465,
