time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
97536,0,368500,1,3.3,0,0.0000024,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,20,18,84,86,99,74
98535,0,368500,1,3.2,0,0.000005,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,13,18,64,83,81,76
99527,0,368500,1,3.1,0,0.000002,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,16,18,76,77,94,78
100526,0,368500,1,3.1,0,0.0000011,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,16,18,78,93,99,64
101524,0,368500,1,3.5,0,0.0000031,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,13,18,72,86,93,52
102523,0,368500,1,3.6,0,-0.00000097,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,13,18,72,74,75,81
103522,0,368500,1,3.2,0,0.0000014,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,19,18,100,91,72,79
104521,0,368500,1,3.6,0,0.0000018,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,13,18,89,71,65,78
105518,0,368500,1,3.3,0,-0.00000089,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,16,18,74,73,100,85
106515,0,368500,1,3.2,0,0.0000012,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,20,18,91,76,98,81
107511,0,368500,1,3.3,0,0.000001,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,14,18,64,72,97,71
108510,0,368500,1,3.2,0,0.0000018,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,17,18,86,87,81,65
109508,0,368500,1,3,0,0.0000054,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,17,18,74,78,99,75
110507,0,368500,1,3.8,0,0.0000063,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,13,18,59,71,70,89
111507,0,368500,1,3.1,0,0.0000043,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,16,18,89,84,70,73
112503,0,368500,1,3.2,0,0.00000042,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,21,18,94,73,91,92
113490,0,368500,1,3.2,0,0.0000039,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,21,18,94,78,99,83
114481,0,368500,1,3.2,0,0.0000048,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,19,18,76,92,92,79
115481,0,368500,1,3.2,0,0.00000017,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,11,18,66,97,53,100
116463,0,368500,1,3.2,0,0.0000023,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,77,91,72,94
