CELL_GLOBAL_ID,DATETIME,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4
1010,48:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1009,08:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
1003,13:09.1,45,0.1,0.076248917,-512,-913,-118.2297171,-40.79354144,13.99907039,-116.2250188,-40.79290228,16.00376862,-119.3639854,-40.79405733,12.86480208,-124.1042268,-40.79849581,8.124560629,-125.3744723,-40.80076415,6.85431516,-126.1315517,-40.80246683,6.097235786
1013,38:09.1,45,0.3,0.158666688,2364.9,-1001,-92.75008124,-10.79670652,29.47870621,-98.624591,-10.81071062,23.60419646,-90.745383,-10.79489771,31.48340445,-99.79754206,-10.81655374,22.43124539,-100.1893752,-10.8188825,22.03941226,-102.5202981,-10.83801049,19.70848935
1009,13:09.1,59,0.1,0.1,-1485,-855,-118.0823889,-40.79348379,14.1463985,-120.0870872,-40.7944639,12.14170027,-120.859427,-40.79497977,11.36936048,-122.55511,-40.79649178,9.673677476,-122.7378394,-40.79669275,9.490948102,-125.9615969,-40.80205843,6.26719051
1010,53:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1013,43:09.1,45,0.3,0.158696363,2364.9,-1004,-92.74456083,-10.7967003,29.48422663,-98.61907058,-10.81068666,23.60971687,-90.73986259,-10.79489379,31.48892487,-99.80211467,-10.81657973,22.42667278,-100.1831914,-10.8188441,22.04559607,-102.5287963,-10.8381005,19.69999113
1001,13:09.1,30,0.75,0.118068915,5,-477.8,-89.32148739,-10.79403548,32.90730007,-95.19599714,-10.80040409,27.03279031,-87.31678915,-10.79321371,34.9119983,-91.9589121,-10.79589183,30.26987536,-94.12260785,-10.79852413,28.1061796,-94.22610077,-10.79868587,28.00268668
1002,08:09.1,58,0.1,0.1,-1010,-1024,-117.7378034,-40.79335632,14.49098402,-119.7425017,-40.79426171,12.48628578,-119.9560424,-40.79438511,12.27274502,-122.5711586,-40.79650909,9.657628845,-123.1446579,-40.7971717,9.084129521,-125.6170114,-40.80127774,6.611776022
1009,18:09.1,45,0.1,0.065244493,-1421,-964,-120.3798278,-40.79464872,11.84895967,-118.3751295,-40.7936003,13.85365791,-122.8457359,-40.79681544,9.383051509,-123.4232974,-40.79752658,8.805490052,-125.6833827,-40.80142334,6.545404721,-126.2543375,-40.80277197,5.974449916
